t,ax,ay,az,gx,gy,gz
0.0,0.015236,-0.051999,0.037523,0.009406,-0.01951,-0.013022
0.01,0.006392,-0.015812,-0.00084,-0.00853,0.008794,0.007778
0.02,0.003302,0.056362,0.023375,-0.008593,0.003688,-0.009589
0.03,0.043923,-0.002496,-0.009243,-0.006809,0.012225,-0.001545
0.04,-0.021416,-0.017607,0.026615,0.003654,0.004127,0.004308
0.05,0.107082,-0.020321,-0.025612,-0.008138,0.00616,0.01129
0.06,-0.005697,-0.042008,-0.041224,0.006506,0.007433,0.005432
0.07,-0.033275,0.011608,0.005834,0.002187,0.008714,0.002236
0.08,0.033946,0.003379,0.014456,0.006313,-0.014572,-0.003197
0.09,-0.023519,-0.031944,-0.013757,0.014949,-0.008658,0.009683
0.1,-0.084143,-0.016744,0.008138,0.005862,0.007112,0.007933
0.11,-0.017436,-0.023118,0.042899,-0.001913,-0.012757,-0.011333
0.12,-0.045973,0.024858,0.007121,0.006905,-0.004273,0.001585
0.13,0.03128,-0.015467,0.022839,-0.006619,-0.003631,-0.003817
0.14,-0.059792,0.024349,-0.02347,0.000125,0.004807,0.004465
0.15,0.033269,-0.004924,-0.021165,-0.000797,-0.016873,-0.014471
0.16,-0.066135,-0.049862,0.019989,-0.009055,-0.003782,0.012992
0.17,-0.017813,0.036876,-0.046681,-0.002054,-0.0095,-0.00339
0.18,0.042015,-0.086366,0.021721,0.002377,-0.005941,-0.014461
0.19,0.003606,-0.026475,0.011634,0.000219,0.016018,-0.002394
0.2,-0.051175,0.008964,0.011,0.013592,0.008351,0.003569
0.21,0.073165,-0.059438,-0.031988,-0.009266,-0.003898,-0.013767
0.22,0.031758,-0.011111,-0.07354,-0.010156,0.003135,0.008381
0.23,0.099837,0.145693,0.02072,-0.009895,-0.02132,0.002677
0.24,-0.040647,-0.020768,-0.030605,-0.001408,0.01066,0.00157
0.25,-0.007932,-0.051783,-0.083734,-0.004863,-0.000538,0.017679
0.26,0.006514,0.049137,-0.024965,-0.011849,-0.009651,-0.007252
