t,position_ticks,position_rad,speed,load
0.0,0,0.0,0,0
0.01,41,0.06283,0,0
0.02,82,0.12563,0,0
0.03,123,0.18838,0,0
0.04,164,0.25106,0,0
0.05,204,0.31364,0,0
0.06,245,0.37609,0,0
0.07,286,0.43839,0,0
0.08,326,0.50051,0,0
0.09,367,0.56244,0,0
0.1,407,0.62414,0,0
0.11,447,0.68559,0,0
0.12,487,0.74676,0,0
0.13,527,0.80764,0,0
0.14,566,0.8682,0,0
0.15,605,0.9284,0,0
0.16,644,0.98824,0,0
0.17,683,1.04768,0,0
0.18,721,1.1067,0,0
0.19,760,1.16528,0,0
0.2,798,1.22339,0,0
0.21,835,1.28102,0,0
0.22,872,1.33813,0,0
0.23,909,1.3947,0,0
0.24,946,1.45072,0,0
0.25,982,1.50616,0,0
0.26,1018,1.56099,0,0
0.27,1053,1.61521,0,0
0.28,1088,1.66877,0,0
0.29,1122,1.72167,0,0
0.3,1156,1.77388,0,0
0.31,1190,1.82538,0,0
0.32,1223,1.87614,0,0
0.33,1256,1.92616,0,0
0.34,1288,1.97541,0,0
0.35,1319,2.02387,0,0
0.36,1350,2.07152,0,0
0.37,1381,2.11834,0,0
0.38,1411,2.16431,0,0
0.39,1440,2.20942,0,0
0.4,1469,2.25364,0,0
0.41,1497,2.29696,0,0
0.42,1525,2.33937,0,0
0.43,1552,2.38083,0,0
0.44,1578,2.42135,0,0
0.45,1604,2.46089,0,0
0.46,1629,2.49946,0,0
0.47,1654,2.53702,0,0
0.48,1678,2.57357,0,0
0.49,1701,2.60908,0,0
0.5,1723,2.64356,0,0
0.51,1745,2.67698,0,0
0.52,1766,2.70932,0,0
0.53,1787,2.74059,0,0
0.54,1806,2.77075,0,0
0.55,1825,2.79981,0,0
0.56,1843,2.82775,0,0
0.57,1861,2.85456,0,0
0.58,1878,2.88022,0,0
0.59,1894,2.90474,0,0
0.6,1909,2.92809,0,0
0.61,1923,2.95027,0,0
0.62,1937,2.97127,0,0
0.63,1950,2.99108,0,0
0.64,1962,3.0097,0,0
0.65,1973,3.02711,0,0
0.66,1984,3.04331,0,0
0.67,1994,3.05829,0,0
0.68,2003,3.07205,0,0
0.69,2011,3.08458,0,0
0.7,2018,3.09588,0,0
0.71,2025,3.10594,0,0
0.72,2031,3.11476,0,0
0.73,2035,3.12233,0,0
0.74,2040,3.12865,0,0
0.75,2043,3.13372,0,0
0.76,2045,3.13754,0,0
0.77,2047,3.1401,0,0
0.78,2048,3.14141,0,0
0.79,2048,3.14146,0,0
0.8,2047,3.14025,0,0
0.81,2046,3.13779,0,0
0.82,2043,3.13407,0,0
0.83,2040,3.1291,0,0
0.84,2036,3.12288,0,0
0.85,2031,3.11541,0,0
0.86,2025,3.10669,0,0
0.87,2019,3.09673,0,0
0.88,2011,3.08553,0,0
0.89,2003,3.0731,0,0
0.9,1994,3.05943,0,0
0.91,1985,3.04455,0,0
0.92,1974,3.02844,0,0
0.93,1963,3.01113,0,0
0.94,1951,2.99261,0,0
0.95,1938,2.97289,0,0
0.96,1924,2.95198,0,0
0.97,1910,2.9299,0,0
0.98,1895,2.90664,0,0
0.99,1879,2.88222,0,0
1.0,1862,2.85664,0,0
1.01,1845,2.82993,0,0
1.02,1827,2.80208,0,0
1.03,1808,2.77311,0,0
1.04,1788,2.74303,0,0
1.05,1768,2.71185,0,0
1.06,1747,2.67959,0,0
1.07,1725,2.64626,0,0
1.08,1703,2.61187,0,0
1.09,1680,2.57643,0,0
1.1,1656,2.53997,0,0
1.11,1631,2.50248,0,0
1.12,1606,2.464,0,0
1.13,1581,2.42453,0,0
1.14,1554,2.38409,0,0
1.15,1527,2.3427,0,0
1.16,1500,2.30037,0,0
1.17,1471,2.25712,0,0
1.18,1443,2.21297,0,0
1.19,1413,2.16793,0,0
1.2,1383,2.12203,0,0
1.21,1353,2.07528,0,0
1.22,1322,2.02769,0,0
1.23,1290,1.9793,0,0
1.24,1258,1.93011,0,0
1.25,1226,1.88016,0,0
1.26,1193,1.82945,0,0
1.27,1159,1.778,0,0
1.28,1125,1.72585,0,0
1.29,1091,1.67301,0,0
1.3,1056,1.6195,0,0
1.31,1020,1.56534,0,0
1.32,985,1.51055,0,0
1.33,949,1.45516,0,0
1.34,912,1.39919,0,0
1.35,875,1.34265,0,0
1.36,838,1.28558,0,0
1.37,801,1.228,0,0
1.38,763,1.16993,0,0
1.39,725,1.11138,0,0
1.4,686,1.0524,0,0
1.41,647,0.99299,0,0
1.42,608,0.93318,0,0
1.43,569,0.873,0,0
1.44,530,0.81248,0,0
1.45,490,0.75162,0,0
1.46,450,0.69047,0,0
1.47,410,0.62904,0,0
1.48,370,0.56736,0,0
1.49,330,0.50545,0,0
1.5,289,0.44334,0,0
1.51,248,0.38105,0,0
1.52,208,0.31861,0,0
1.53,167,0.25605,0,0
1.54,126,0.19338,0,0
1.55,85,0.13063,0,0
1.56,44,0.06783,0,0
1.57,3,0.005,0,0
1.58,4058,-0.05783,0,0
1.59,4017,-0.12063,0,0
1.6,3976,-0.18339,0,0
1.61,3936,-0.24607,0,0
1.62,3895,-0.30866,0,0
1.63,3854,-0.37112,0,0
1.64,3813,-0.43343,0,0
1.65,3773,-0.49557,0,0
1.66,3733,-0.55751,0,0
1.67,3692,-0.61923,0,0
1.68,3652,-0.6807,0,0
1.69,3612,-0.7419,0,0
1.7,3573,-0.80281,0,0
1.71,3533,-0.86339,0,0
1.72,3494,-0.92362,0,0
1.73,3455,-0.98349,0,0
1.74,3416,-1.04296,0,0
1.75,3378,-1.10202,0,0
1.76,3339,-1.16063,0,0
1.77,3301,-1.21878,0,0
1.78,3264,-1.27645,0,0
1.79,3227,-1.3336,0,0
1.8,3190,-1.39022,0,0
1.81,3153,-1.44628,0,0
1.82,3117,-1.50177,0,0
1.83,3081,-1.55665,0,0
